0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:11 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:11 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:11 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:11 +0900] "GET /indexBoardListOk.bo HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:11 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:23 +0900] "GET /noticeboardViewOk.bo?board_idx=66 HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:23 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:26 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:43 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:46 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:46 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:54:46 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
